city,state_name,lat,lng,id
South Prairie,Washington,47.1373,-122.0940,1840022308
Eschbach,Washington,46.6670,-120.6337,1840017369
Indianola,Washington,47.7566,-122.5142,1840017337
Reardan,Washington,47.6698,-117.8778,1840021110
Cowiche,Washington,46.6729,-120.7154,1840023852
Sunday Lake,Washington,48.2306,-122.2684,1840042107
Rocky Point,Washington,47.5882,-122.6668,1840037507
Burbank,Washington,46.1991,-118.9728,1840017383
Lakeland North,Washington,47.3374,-122.2814,1840074254
Granite Falls,Washington,48.0874,-121.9704,1840019787
Camas,Washington,45.6003,-122.4306,1840018524
Skokomish,Washington,47.3298,-123.1579,1840018433
Cusick,Washington,48.3328,-117.2961,1840021060
Rosalia,Washington,47.2363,-117.3769,1840021138
Longbranch,Washington,47.2257,-122.7739,1840023835
Granger,Washington,46.3455,-120.1926,1840019872
North Fort Lewis,Washington,47.1221,-122.5966,1840042007
Tampico,Washington,46.5325,-120.8727,1840023857
Tukwila,Washington,47.4748,-122.2727,1840021120
Cathlamet,Washington,46.2056,-123.3835,1840022327
Wenatchee,Washington,47.4338,-120.3286,1840021074
Port Ludlow,Washington,47.9101,-122.7006,1840018388
Castle Rock,Washington,46.2717,-122.9057,1840018501
Glacier,Washington,48.8903,-121.9323,1840017292
Index,Washington,47.8212,-121.5556,1840021082
Republic,Washington,48.6477,-118.7326,1840019766
Bellevue,Washington,47.5953,-122.1550,1840018417
Malo,Washington,48.7997,-118.6119,1840026093
Anderson Island,Washington,47.1577,-122.7037,1840041888
University Place,Washington,47.2148,-122.5460,1840021130
Montesano,Washington,47.0102,-123.5858,1840019847
Rainier,Washington,46.8917,-122.6867,1840021147
Fords Prairie,Washington,46.7461,-123.0029,1840017377
Roy,Washington,46.9971,-122.5423,1840019856
Oso,Washington,48.2836,-121.9237,1840018374
Marblemount,Washington,48.5378,-121.4346,1840017315
Elk Plain,Washington,47.0448,-122.3671,1840037546
Burlington,Washington,48.4677,-122.3298,1840018367
Bangor Base,Washington,47.7227,-122.7146,1840036750
Beaux Arts Village,Washington,47.5854,-122.2009,1840019838
Port Gamble Tribal Community,Washington,47.8487,-122.5571,1840042014
Olympia,Washington,47.0417,-122.8959,1840019865
East Wenatchee,Washington,47.4172,-120.2809,1840019795
Addy,Washington,48.3588,-117.8372,1840025238
Minnehaha,Washington,45.6577,-122.6204,1840018518
Bryn Mawr-Skyway,Washington,47.4949,-122.2411,1840037012
Satsop,Washington,47.0223,-123.4737,1840018445
Riverbend,Washington,47.4651,-121.7491,1840037860
Easton,Washington,47.2405,-121.1733,1840017354
Silverdale,Washington,47.6663,-122.6828,1840018406
Napavine,Washington,46.5844,-122.9007,1840019884
Lochsloy,Washington,48.0597,-122.0411,1840037500
Ellensburg,Washington,46.9994,-120.5470,1840019841
McKenna,Washington,46.9365,-122.5500,1840023836
Fairfield,Washington,47.3848,-117.1748,1840021096
Northwest Stanwood,Washington,48.2623,-122.3501,1840042009
Mansfield,Washington,47.8119,-119.6380,1840022286
Duvall,Washington,47.7354,-121.9725,1840018427
Markham,Washington,46.9155,-123.9814,1840017359
Waller,Washington,47.2035,-122.3699,1840037889
Longview,Washington,46.1460,-122.9630,1840019904
Richland,Washington,46.2826,-119.2937,1840019889
Rosedale,Washington,47.3453,-122.6368,1840023839
Vancouver,Washington,45.6367,-122.5970,1840021189
Bethel,Washington,47.4874,-122.6175,1840023792
Custer,Washington,48.9143,-122.6397,1840018344
Lofall,Washington,47.8113,-122.6564,1840023798
Fairwood,Washington,47.4467,-122.1430,1840037517
Winlock,Washington,46.4907,-122.9342,1840021164
Sumner,Washington,47.2190,-122.2338,1840021128
Cottage Lake,Washington,47.7466,-122.0755,1840037848
Puget Island,Washington,46.1742,-123.3829,1840042033
Woods Creek,Washington,47.8821,-121.8982,1840037864
Washougal,Washington,45.5812,-122.3433,1840021190
Sisco Heights,Washington,48.1188,-122.1076,1840037510
Canterwood,Washington,47.3766,-122.6022,1840037842
Wapato,Washington,46.4434,-120.4215,1840021153
Lower Elochoman,Washington,46.2185,-123.3698,1840041981
Lake Goodwin,Washington,48.1387,-122.2804,1840037872
Banks Lake South,Washington,47.6315,-119.2760,1840034884
Kent,Washington,47.3887,-122.2128,1840018424
Bickleton,Washington,46.0056,-120.3081,1840017400
Ryderwood,Washington,46.3750,-123.0441,1840025275
Cavalero,Washington,47.9845,-122.0746,1840041913
La Conner,Washington,48.3925,-122.4945,1840021068
Martha Lake,Washington,47.8480,-122.2326,1840037875
George,Washington,47.0845,-119.8598,1840019814
Snohomish,Washington,47.9277,-122.0970,1840021078
Eatonville,Washington,46.8682,-122.2698,1840021131
Carson,Washington,45.7353,-121.8219,1840017391
Almira,Washington,47.7105,-118.9369,1840021108
Nooksack,Washington,48.9276,-122.3211,1840019753
Mount Vista,Washington,45.7373,-122.6315,1840037858
High Bridge,Washington,47.7968,-122.0281,1840041937
Lakeland South,Washington,47.2784,-122.2831,1840074270
Kenmore,Washington,47.7532,-122.2459,1840018423
Neah Bay,Washington,48.3612,-124.6115,1840023937
Cliffdell,Washington,46.9213,-121.0420,1840023851
Port Angeles East,Washington,48.1041,-123.3695,1840074570
Burien,Washington,47.4762,-122.3393,1840018420
